CustomerID,Lookalike1,Score1,Lookalike2,Score2,Lookalike3,Score3
C0001,C0105,0.7739281842683765,C0163,0.6873092544131267,C0050,0.6856927786062836
C0002,C0109,0.5363798777066622,C0079,0.5285529219537446,C0117,0.515089144616562
C0003,C0140,0.8259664038922198,C0181,0.8207276278000456,C0184,0.8181030099787445
C0004,C0003,0.5628619505610315,C0133,0.5327361117341476,C0181,0.5181798264981355
C0005,C0096,0.6683801091411397,C0192,0.6418213940288774,C0164,0.6233204791448692
C0006,C0058,0.6833174088001752,C0040,0.6626191774027397,C0114,0.6461161362081614
C0007,C0031,0.6229391932509142,C0020,0.5798921734396695,C0026,0.5174295309241638
C0008,C0165,0.47995825082574334,C0169,0.4235446133872936,C0143,0.38197294182415203
C0009,C0140,0.7865578016626213,C0156,0.7622332431368897,C0181,0.7327591266344907
C0010,C0029,0.8903528709045399,C0092,0.8650163105267379,C0083,0.8422806466766237
C0011,C0022,0.6195111717742585,C0135,0.6044043836963852,C0107,0.5589947370440066
C0012,C0164,0.6931189300367439,C0173,0.6266483032927103,C0128,0.6199571609404172
C0013,C0040,0.6052360194655937,C0058,0.5569830949313297,C0131,0.4942194902040312
C0014,C0128,0.5740534126137472,C0159,0.44121732020432397,C0136,0.32363965675500067
C0015,C0060,0.8074745046369707,C0063,0.5880739159442988,C0073,0.5473952661786068
C0016,C0064,0.6667525727376913,C0187,0.657409470694667,C0052,0.620841788412291
C0017,C0146,0.49419227564570306,C0037,0.4256041730550759,C0147,0.3800012288451183
C0018,C0059,0.46273292867058813,C0177,0.41362850919129923,C0020,0.3779453475381224
C0019,C0020,0.6898086692802996,C0064,0.639336891964859,C0026,0.6155064553742607
C0020,C0026,0.8922857638429497,C0049,0.82109966836728,C0019,0.6898086692802996
